"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"343","Esox lucius","esoxlucius",NA,"",NA,"","",0,"","PLT - knowledge","","",3050,"","Knight et al. 2008","","",16,"EOL","",3,"","","","","","","",NA,0.00305,0.0311583881621075,"ACTINOPTERYGII","Esox lucius"
"344","Eremophila alpestris","eremophilaalpestris",NA,"",NA,"","",1346,"","La Sorte et al. 2016","","",4900,"","Mace_Harvey_1983","","",0.0408,"Mace_Harvey_1983","",3,"MG","","","","","","",NA,0.0049,0.0394932708483429,"AVES","Eremophila alpestris"
"345","Lanius excubitor","laniusexcubitor",NA,"",NA,"","",2221.4,"","Horton_2018","","",650000,"","makarieva_etal_2005","","",0.065,"makarieva_etal_2005","",3,"SDS","","","","","","",NA,0.65,0.454864184146723,"AVES","Lanius excubitor"
"346","Rana clamitans","ranaclamitans",NA,"",NA,"","",2,"","Trumbo_et_al_2012","","",60.9,"","Martof_1953","","",0.028,"Wikipedia","",3,"","","","","","","",NA,6.09e-05,0.00440284817687288,"NA","Rana clamitans"
"347","Antidorcas marsupialis","antidorcasmarsupialis",NA,"",NA,"","",360,"","Hein_Gillooly_2011","","",149000,"","Mechkour_etal_2008","","",32,"Hein_Gillooly_2011","",3,"CF","","","","","","",NA,0.149,0.217780102491905,"MAMMALIA","Antidorcas marsupialis"
"348","Spodoptera exigua","spodopteraexigua",3230,"","Jenkins_et_al_2007","","",3700,"","Hein_Gillooly_2011","","",NA,"",NA,"","",5.4e-05,"Hein_Gillooly_2011","",3,"CF","","","","","","",NA,NA,NA,"NA","Spodoptera exigua"
"349","Agrotis ipsilon","agrotisipsilon",720,"",NA,"","",1800,"","Hein_Gillooly_2011","","",NA,"",NA,"","",2e-04,"Hein_Gillooly_2011","",3,"CJL","","","","","","",NA,NA,NA,"NA","Agrotis ipsilon"
"350","Danaus plexippus","danausplexippus",3230,"","Jenkins_et_al_2007","","",3600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00057,"Hein_Gillooly_2011","",3,"PLT","","","","","","",NA,NA,NA,"NA","Danaus plexippus"
"351","Triturus carnifex","trituruscarnifex",0.299,"","Jenkins_et_al_2007","","",0.115,"","Trochet_etal","","",NA,"",NA,"","",0.00884,"Trochet_etal","",3,"CF","","","","","","",NA,NA,NA,"AMPHIBIA","Triturus carnifex"
"352","Setophaga americana","setophagaamericana",0.06,"","Prugh_etal","","",2259.3,"","Horton_2018","","",NA,"",NA,"","",0.009,"Bestetal_1996","",3,"MG","","","","","","",NA,NA,NA,"AVES","Setophaga americana"
"353","Vireo flavifrons","vireoflavifrons",0.45,"","Prugh_etal","","",2699,"","Horton_2018","","",NA,"",NA,"","",0.018,"Bestetal_1996","",3,"MG","","","","","","",NA,NA,NA,"AVES","Vireo flavifrons"
"354","Chloris chloris","chlorischloris",150,"","Jenkins_et_al_2007","","",0,"","Moller_etal_2004","","",NA,"",NA,"","",0.0278,"Moller_etal_2004","",3,"CF","","","","","","",NA,NA,NA,"AVES","Chloris chloris"
"355","Bombycilla cedrorum","bombycillacedrorum",25,"","Tittler_2009","","",1607.7,"","Horton_2018","","",NA,"",NA,"","",0.032,"Bestetal_1996","",3,"MG","","","","","","",NA,NA,NA,"AVES","Bombycilla cedrorum"
"356","Myiarchus crinitus","myiarchuscrinitus",0.8,"","Prugh_etal","","",2848.5,"","Horton_2018","","",NA,"",NA,"","",0.034,"Bestetal_1996","",3,"MG","","","","","","",NA,NA,NA,"AVES","Myiarchus crinitus"
"357","Corvus monedula","corvusmonedula",31.8,"","Jenkins_et_al_2007","","",0,"","moller_etal_2004","","",NA,"",NA,"","",0.246,"Moller_etal_2004","",3,"CF","","","","","","",NA,NA,NA,"AVES","Corvus monedula"
"358","Corvus frugilegus","corvusfrugilegus",34.5,"","Jenkins_et_al_2007","","",500,"","Moller_etal_2004","","",NA,"",NA,"","",0.488,"Moller_etal_2004","",3,"CF","","","","","","",NA,NA,NA,"AVES","Corvus frugilegus"
"359","Lophodytes cucullatus","lophodytescucullatus",5.6,"","Jenkins_et_al_2007","","",781,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.61,"Bestetal_1996","",3,"MG","","","","","","",NA,NA,NA,"AVES","Lophodytes cucullatus"
"360","Fulica atra","fulicaatra",79.4,"","Jenkins_et_al_2007","","",4000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.84,"Hein_Gillooly_2011","",3,"MG","","","","","","",NA,NA,NA,"AVES","Fulica atra"
"361","Larus glaucescens","larusglaucescens",400,"","Jenkins_et_al_2007","","",82,"","Reid_1988","","",NA,"",NA,"","",1.01,"EOL","",3,"SDS","","","","","","",NA,NA,NA,"AVES","Larus glaucescens"
"362","Xiphias gladius","xiphiasgladius",3050,"","Jenkins_et_al_2007","","",2500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",22,"Hein_Gillooly_2011","",3,"CJL","","","","","","",NA,NA,NA,"ACTINOPTERYGII","Xiphias gladius"
"363","Lamna ditropis","lamnaditropis",3270,"","Jenkins_et_al_2007","","",3000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",98,"Hein_Gillooly_2011","",3,"SDS","","","","","","",NA,NA,NA,"CHONDRICHTHYES","Lamna ditropis"
"364","Rhincodontypus","rhincodontypus",12600,"","Jenkins_et_al_2007","","",13000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",20000,"Rowat_Brooks_2012","this was the largest specimen ever found so replaced with an average adult weight (34000 in Hein_Gillooly_2011)",3,"CF","","","","","","",NA,NA,NA,"NA","Rhincodontypus"
"365","Setophaga magnolia","setophagamagnolia",NA,"",NA,"","",3686.1,"","Horton_2018","","",7284.34,"","Schoener_1968","","",0.0085,"Schoener_1968","",3,"PLT","","","","","","",NA,0.00728434,0.0481526472410815,"AVES","Setophaga magnolia"
"366","Setophaga virens","setophagavirens",NA,"",NA,"","",3407.5,"","Horton_2018","","",6474.97,"","Schoener_1968","","",0.009,"Schoener_1968","",3,"MG","","","","","","",NA,0.00647497,0.0453987550902385,"AVES","Setophaga virens"
"367","Empidonax minimus","empidonaxminimus",NA,"",NA,"","",3545.6,"","Horton_2018","","",1780.617,"","Schoener_1968","","",0.0105,"Armstrong_1965","",3,"CJL","","","","","","",NA,0.001780617,0.0238073096885583,"AVES","Empidonax minimus"
"368","Empidonax wrightii","empidonaxwrightii",NA,"",NA,"","",1869,"","La Sorte et al. 2016","","",15782.7,"","Schoener_1968","","",0.012,"Schoener_1968","",3,"MG","","","","","","",NA,0.0157827,0.0708786952523317,"AVES","Empidonax wrightii"
"369","Spizella arborea","spizellaarborea",NA,"",NA,"","",2359.6,"","Horton_2018","","",16996.8,"","Schoener_1968","","",0.018,"Schoener_1968","",3,"CF","","","","","","",NA,0.0169968,0.0735543980567352,"NA","Spizella arborea"
"370","Cygnus columbianus","cygnuscolumbianus",NA,"",NA,"","",3085,"","La Sorte et al. 2016","","",1390000,"","Spindler&Hall_1991","","",6.8,"Hein_Gillooly_2011","",3,"MG","","","","","","",NA,1.39,0.665169709018284,"AVES","Cygnus columbianus"
"371","Phylloscopus bonelli","phylloscopusbonelli",NA,"",NA,"","",4000,"","Moller_etal_2004","","",35000,"DM","Tamburello_etal","35000","m2",0.0075,"Tamburello_etal","yes",3,"SDS","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.035,0.105550206141119,"AVES","Phylloscopus bonelli"
"372","Setophaga magnolia","setophagamagnolia",NA,"",NA,"","",3891,"","La Sorte et al. 2016","","",7284.33,"DM","Tamburello_etal","7284.33","m2",0.0086,"Tamburello_etal","yes",3,"CJL","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00728433,0.0481526141889012,"AVES","Setophaga magnolia"
"373","Sylvia undata","sylviaundata",NA,"",NA,"","",0,"","Moller_etal_2004","","",2800,"DM","Tamburello_etal","2800","m2",0.0088,"Tamburello_etal","yes",3,"MG","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.0028,0.0298541066072092,"AVES","Sylvia undata"
"374","Setophaga virens","setophagavirens",NA,"",NA,"","",3671,"","La Sorte et al. 2016","","",6474.96,"DM","Tamburello_etal","6474.96","m2",0.009,"Tamburello_etal","yes",3,"SDS","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00647496,0.0453987200331088,"AVES","Setophaga virens"
"375","Setophaga petechia","setophagapetechia",NA,"",NA,"","",5143,"","La Sorte et al. 2016","","",1699.68,"DM","Tamburello_etal","1699.68","m2",0.0095,"Tamburello_etal","yes",3,"CJL","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00169968,0.0232599429781946,"AVES","Setophaga petechia"
"376","Setophaga pensylvanica","setophagapensylvanica",NA,"",NA,"","",3817,"","La Sorte et al. 2016","","",6070.28,"DM","Tamburello_etal","6070.28","m2",0.0096,"Tamburello_etal","yes",3,"DM","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00607028,0.0439571397602681,"AVES","Setophaga pensylvanica"
"377","Setophaga fusca","setophagafusca",NA,"",NA,"","",4942.1,"","Horton_2018","","",5260.91,"DM","Tamburello_etal","5260.91","m2",0.0097,"Tamburello_etal","yes",3,"SDS","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00526091,0.0409218726761516,"AVES","Setophaga fusca"
"378","Serinus serinus","serinusserinus",NA,"",NA,"","",500,"","Moller_etal_2004","","",10000,"DM","Tamburello_etal","10000","m2",0.0107,"Tamburello_etal","yes",3,"MG","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.01,0.0564189583547756,"AVES","Serinus serinus"
"379","Geothlypis philadelphia","geothlypisphiladelphia",NA,"",NA,"","",4721.6,"","Horton_2018","","",7689.02,"DM","Tamburello_etal","7689.02","m2",0.0113,"Tamburello_etal","yes",3,"CF","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,0.00768902,0.0494721242829221,"AVES","Geothlypis philadelphia"
"380","Cuculus canorus","cuculuscanorus",NA,"",NA,"","",12000,"","Hein_Gillooly_2011","","",38460000,"DM","Tamburello_etal","38460000","m2",0.128,"Tamburello_etal","yes",3,"PLT","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,38.46,3.49888528286204,"AVES","Cuculus canorus"
"381","Crex crex","crexcrex",NA,"",NA,"","",10000,"","Hein_Gillooly_2011","","",43000,"DM","Tamburello_etal","43000","m2",0.165,"Tamburello_etal","yes",3,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.043,0.116992842113964,"AVES","Crex crex"
"382","Rallus elegans","ralluselegans",NA,"",NA,"","",746,"","La Sorte et al. 2016","","",44000,"DM","Tamburello_etal","44000","m2",0.266,"Tamburello_etal","yes",3,"SDS","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.044,0.118345405454064,"AVES","Rallus elegans"
"383","Loxodonta africana","loxodontaafricana",NA,"",NA,"","",240,"","Hein_Gillooly_2011","","",2.22e+09,"","Thomas_etal_2008","","",4000.00008,"Tamburello_etal","yes",3,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,2220,26.5828506245665,"MAMMALIA","Loxodonta africana"
"384","Caprimulgus vociferus","caprimulgusvociferus",NA,"",NA,"","",6000,"","Hein_Gillooly_2011","","",776000,"","Wilson_2003","","",0.053,"Hein_Gillooly_2011","",3,"MG","","","","","","",NA,0.776,0.496999468489275,"NA","Caprimulgus vociferus"
"385","Melospiza lincolnii","melospizalincolnii",NA,"",NA,"","",2518.8,"","Horton_2018","","",3507,"","Wortman-Wunder_1997","","",0.0194,"EOL","",3,"SDS","","","","","","",NA,0.003507,0.0334112671242285,"AVES","Melospiza lincolnii"
"386","Aphis fabae","aphisfabae",NA,"",NA,"","",1300,"","Hein_Gillooly_2011","","",NA,"",NA,"","",8.8e-07,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA","Aphis fabae"
"387",NA,"nysiusvinitor",NA,"",NA,"","",300,"","Hein_Gillooly_2011","","",NA,"",NA,"","",3.9e-06,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"388",NA,"muscavetustissima",NA,"",NA,"","",600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",1.4e-05,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"389",NA,"nomophilanoctuella",NA,"",NA,"","",2400,"","Hein_Gillooly_2011","","",NA,"",NA,"","",2.1e-05,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"390",NA,"pantalaflavescens",NA,"",NA,"","",3500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",8.8e-05,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"391",NA,"phoebissennae",NA,"",NA,"","",1500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00016,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"392",NA,"pseudaletiaunipuncta",NA,"",NA,"","",1600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00019,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"393",NA,"helicoverpazea",NA,"",NA,"","",1600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00021,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"394",NA,"agrotisinfusa",NA,"",NA,"","",800,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00033,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"395",NA,"uraniafulgens",NA,"",NA,"","",1900,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.00042,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"396",NA,"hemianaxephippiger",NA,"",NA,"","",3000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.001,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"397",NA,"anaxjunius",NA,"",NA,"","",2800,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.0012,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"398",NA,"lissotritonhelveticus",NA,"",NA,"","",0.4,"","Trochet_etal","","",NA,"",NA,"","",0.0013,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"399",NA,"lissotritonboscai",NA,"",NA,"","",0.08,"","Trochet_etal","","",NA,"",NA,"","",0.00177,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"400",NA,"chioglossalusitanica",NA,"",NA,"","",0.7,"","Trochet_etal","","",NA,"",NA,"","",0.002,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"401",NA,"lissotritonvulgaris",NA,"",NA,"","",0.0345,"","Trochet_etal","","",NA,"",NA,"","",0.00268,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"402",NA,"mesotritonalpestris",NA,"",NA,"","",0.2,"","Trochet_etal","","",NA,"",NA,"","",0.00296,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"403",NA,"hylasarda",NA,"",NA,"","",12.6,"","Trochet_etal","","",NA,"",NA,"","",0.00318,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"404",NA,"selasphorussasin",NA,"",NA,"","",810,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.0032,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"405","Archilochus colubris","archilochuscolubris",NA,"",NA,"","",2757,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.0033,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"AVES","Archilochus colubris"
"406",NA,"selasphorusrufus",NA,"",NA,"","",4086,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.0037,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"407",NA,"calypteanna",NA,"",NA,"","",279,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.0048,"Mace_Harvey_1983","",2,"","","","","","","",NA,NA,NA,"NA",NA
"408",NA,"polioptilacaerulea",NA,"",NA,"","",786.8,"","Horton_2018","","",NA,"",NA,"","",0.006,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"409","Rana iberica","ranaiberica",NA,"",NA,"","",0.46,"","Trochet_etal","","",NA,"",NA,"","",0.00603,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"AMPHIBIA","Rana iberica"
"410",NA,"hylaintermedia",NA,"",NA,"","",12.6,"","Trochet_etal","","",NA,"",NA,"","",0.00628,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"411",NA,"calotritonasper",NA,"",NA,"","",0.05,"","Trochet_etal","","",NA,"",NA,"","",0.00662,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"412",NA,"trituruscristatus",NA,"",NA,"","",1.29,"","Trochet_etal","","",NA,"",NA,"","",0.00734,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"413",NA,"certhiaamericana",NA,"",NA,"","",270.4,"","Horton_2018","","",NA,"",NA,"","",0.008,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"414","Sylvia cantillans","sylviacantillans",NA,"",NA,"","",4500,"","Moller_etal_2004","","",NA,"",NA,"","",0.0085,"Moller_etal_2004","",2,"","","","","","","",NA,NA,NA,"AVES","Sylvia cantillans"
"415",NA,"vermivoracyanoptera",NA,"",NA,"","",2354.1,"","Horton_2018","","",NA,"",NA,"","",0.0089,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"416",NA,"triturusmarmoratus",NA,"",NA,"","",0.146,"","Trochet_etal","","",NA,"",NA,"","",0.00891,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"417",NA,"cisticolacherina",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.009,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"418",NA,"cistothorusplatensis",NA,"",NA,"","",593.4,"","Horton_2018","","",NA,"",NA,"","",0.009,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"419",NA,"setophagadominica",NA,"",NA,"","",1424.3,"","Horton_2018","","",NA,"",NA,"","",0.009,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"420",NA,"zoonavenagrandidieri",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.0105,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"421",NA,"cistothoruspalustris",NA,"",NA,"","",1117.9,"","Horton_2018","","",NA,"",NA,"","",0.011,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"422","Alytes obstetricans","alytesobstetricans",NA,"",NA,"","",0.5,"","Trochet_etal","","",NA,"",NA,"","",0.0117,"Trochet_etal_2014","",2,"","","","","","","",NA,NA,NA,"AMPHIBIA","Alytes obstetricans"
"423",NA,"notiochelidoncyanoleuca",NA,"",NA,"","",8000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.012,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"424",NA,"ammodramushenslowii",NA,"",NA,"","",1088.2,"","Horton_2018","","",NA,"",NA,"","",0.013,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"425",NA,"empidonaxtraillii",NA,"",NA,"","",4046.6,"","Horton_2018","","",NA,"",NA,"","",0.013,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"426",NA,"helmitherosvermivorum",NA,"",NA,"","",2057.7,"","Horton_2018","","",NA,"",NA,"","",0.013,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"427",NA,"spizellapusilla",NA,"",NA,"","",512.2,"","Horton_2018","","",NA,"",NA,"","",0.013,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"428",NA,"terpsiphonemutata",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.013,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"429",NA,"sternaparadisaea",NA,"",NA,"","",38000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.013,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"430",NA,"cypsiurusparvus",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.0136,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"431",NA,"oporornisformosus",NA,"",NA,"","",2315.7,"","Horton_2018","","",NA,"",NA,"","",0.014,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"432","Saxicola torquata","saxicolatorquata",NA,"",NA,"","",1000,"","Moller_etal_2004","","",NA,"",NA,"","",0.0144,"Moller_etal_2004","",2,"","","","","","","",NA,NA,NA,"NA","Saxicola torquata"
"433","Ceyx picta","ceyxpicta",NA,"",NA,"","",2000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.015,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA","Ceyx picta"
"434",NA,"setophagastriata",NA,"",NA,"","",12000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.015,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"435",NA,"terpsiphoneviridis",NA,"",NA,"","",1800,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.015,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"436",NA,"vireogilvus",NA,"",NA,"","",2563.1,"","Horton_2018","","",NA,"",NA,"","",0.015,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"437",NA,"ammodramusnelsoni",NA,"",NA,"","",2169.3,"","Horton_2018","","",NA,"",NA,"","",0.0151,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"438",NA,"stelgidopteryxserripennis",NA,"",NA,"","",2154,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.016,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
